Sales ($/sq ft),Income ($000),Competitors,Mall Visitors (000 per month)
$490.00 ,60,3,2090
$609.00 ,86,4,2340
$455.00 ,72,2,2000
$486.00 ,61,3,1980
$551.00 ,77,3,2260
$577.00 ,69,3,2180
$514.00 ,70,3,2160
$509.00 ,48,2,1760
$611.00 ,83,4,2080
$464.00 ,60,1,1540
$609.00 ,71,2,2000
$531.00 ,57,3,2270
$552.00 ,61,1,1920
$504.00 ,61,4,2400
$377.00 ,52,1,1890
$359.00 ,55,3,1770
$674.00 ,67,1,2180
$560.00 ,63,1,2130
$523.00 ,61,1,1890
$546.00 ,60,1,2050
$458.00 ,59,5,2340
$503.00 ,59,3,2270
$569.00 ,61,0,1590
$579.00 ,58,0,1590
$521.00 ,58,2,1850
$554.00 ,74,2,1790
$502.00 ,56,1,1700
$475.00 ,54,3,2200
$304.00 ,52,5,2170
$473.00 ,51,2,2010
$839.00 ,105,6,2480
$615.00 ,62,0,1820
$834.00 ,86,2,2560
$459.00 ,63,3,2100
$551.00 ,52,1,1890
$346.00 ,59,2,1610
$640.00 ,90,5,2210
$400.00 ,54,1,1630
$434.00 ,58,1,1650
$709.00 ,83,3,2420
$310.00 ,54,2,1860
$485.00 ,66,4,2220
$534.00 ,54,0,1580
$538.00 ,83,4,2090
$477.00 ,77,3,2120
$587.00 ,76,3,2360
$437.00 ,62,4,2220
$767.00 ,91,5,2500
$500.00 ,51,0,1670
$430.00 ,54,3,2200
$358.00 ,64,5,2120
$486.00 ,70,5,2050
$404.00 ,54,4,2150
$562.00 ,69,4,2200
$504.00 ,53,2,1800
$487.00 ,68,4,2100
$559.00 ,62,3,1980
$464.00 ,64,2,1550
$457.00 ,50,2,2200
$475.00 ,58,0,1600
$521.00 ,71,0,1730
$475.00 ,63,2,1780
$534.00 ,66,3,2150
$377.00 ,61,3,2010
$400.00 ,62,2,1880
