Title,Subsequent Sales ($MM),Box Office Gross ($MM),Log Subsequent Sales,Log Gross,Log 10 Subsequent Purchase,Log 10 Gross,Genre,Rating,Box Office Date,Studio
10 THINGS I HATE ABOUT YOU,2.05,38.2,0.71783979,3.64283552,0.31175386,1.58206336,Comedy,PG-13,02-04-1999,BV
102 Dalmations,1.37,66.8,0.31481074,4.20170308,0.13672057,1.82477646,Family,G,22-11-2000,BV
"13th Warrior, The",1.97,32.6,0.67803354,3.48431229,0.29446623,1.5132176,Action/Adventure,R,27-08-1999,BV
15 Minutes,0.86,24.4,-0.1508229,3.19458313,-0.0655015,1.38738983,Action/Adventure,R,09-03-2001,NL
28 Days,1.83,37,0.60431597,3.61091791,0.26245109,1.56820172,Drama,PG-13,14-04-2000,SNY
3000 Miles to Graceland,0.59,15.6,-0.5276327,2.74727091,-0.229148,1.1931246,Action/Adventure,R,23-02-2001,WB
54,0.58,16.6,-0.5447272,2.8094027,-0.236572,1.22010809,Drama,R,28-08-1998,BV
"6th Day, The",1.83,34.3,0.60431597,3.53514535,0.26245109,1.53529412,Action/Adventure,PG-13,17-11-2000,SNY
8MM,1.31,36.3,0.27002714,3.59181774,0.1172713,1.55990663,Mystery,R,26-02-1999,SNY
Adventures of Elmo in Grouchland,0.15,10.8,-1.89712,2.37954613,-0.8239087,1.03342376,Family,G,01-10-1999,SNY
"Adventures of Rocky & Bullwinkle, The",0.47,26,-0.7550226,3.25809654,-0.3279021,1.41497335,Comedy,PG,30-06-2000,UNI
AFFLICTION,0.13,6.3,-2.0402208,1.84054963,-0.8860566,0.79934055,Drama,R,01-01-1999,UNI
AIR BUD: GOLDEN RECEIVER,0.15,10.2,-1.89712,2.32238772,-0.8239087,1.00860017,Family,G,14-08-1998,BV
All About My Mother,0.03,7.8,-3.5065579,2.05412373,-1.5228787,0.8920946,Comedy,R,19-11-1999,SNY
All the Pretty Horses,0.34,15.4,-1.0788097,2.73436751,-0.4685211,1.18752072,Drama,PG-13,25-12-2000,BV
Almost Famous,1.05,32.5,0.04879016,3.48124009,0.0211893,1.51188336,Drama,R,22-09-2000,DRW
ALMOST HEROES,0.12,6.1,-2.1202635,1.80828877,-0.9208188,0.78532984,Action/Adventure,PG-13,29-05-1998,WB
Along Came a Spider,,74.1,,4.30541553,,1.86981821,Action/Adventure,R,06-04-2001,PAR
