Score_Rank,University,Country,Numb_students_per_Staff,Percentage_International_Students,Percentage_Female,Percentage_Male,Teaching_indicator(Max=100),Research_indicator(Max=100),Industry_Income_indicator(Max=100),International_Outlook_indicator(Max=100),Overall Score_(Max=100)
1,University of Oxford,United Kingdom,11.2,41%,46%,54%,90.5,99.6,65.5,96.4,95.4
2,California Institute of Technology,United States,6.4,30%,34%,66%,92.1,97.2,88,82.5,94.5
3,University of Cambridge,United Kingdom,10.9,37%,47%,53%,91.4,98.7,59.3,95,94.4
4,Stanford University,United States,7.3,23%,43%,57%,92.8,96.4,66.2,79.5,94.3
5,Massachusetts Institute of Technology,United States,8.6,34%,39%,61%,90.5,92.4,86.9,89,93.6
6,Princeton University,United States,8.1,25%,45%,55%,90.3,96.3,58.6,81.1,93.2
7,Harvard University,United States,9.2,24%,49%,51%,89.2,98.6,47.3,76.3,93
8,Yale University,United States,5.4,20%,50%,50%,92,94.8,52.4,68.7,91.7
9,University of Chicago,United States,5.7,28%,46%,54%,89.1,91.4,52.7,76,90.2
10,Imperial College London,United Kingdom,11.7,56%,38%,62%,84.5,87.6,69.9,97.1,89.8
11,University of Pennsylvania,United States,6.5,21%,52%,48%,87.5,90.4,74,65,89.6
12,Johns Hopkins University,United States,4.5,26%,52%,48%,81.7,91.4,91.3,73.2,89.2
13,"University of California, Berkeley",United States,13.7,17%,50%,50%,83,90.6,46.1,70.4,88.3
13,ETH Zurich,Switzerland,12.5,39%,32%,68%,81.8,92.8,56.8,98.2,88.3
14,UCL,United Kingdom,10.6,52%,57%,43%,77.8,88.7,42.7,96.2,87.1
15,Columbia University,United States,5.8,37%,0%,0%,85.6,82.6,44.8,79.3,87
16,"University of California, Los Angeles",United States,9.4,17%,54%,46%,83.1,88.6,51.3,64.1,86.8
17,University of Toronto,Canada,20.1,21%,59%,41%,76.6,89.5,50.5,84.7,85.5
18,Cornell University,United States,9.8,25%,49%,51%,79.7,86,37.1,73.4,85.1
19,Duke University,United States,4.3,19%,49%,51%,82.4,76.8,99.9,61.5,84
20,University of Michigan-Ann Arbor,United States,8.3,17%,49%,51%,79.4,86.1,47.7,59.2,83.8
21,Northwestern University,United States,12.8,20%,49%,51%,74.2,83.8,78.4,64.1,83.5
22,Tsinghua University,China,12,11%,34%,66%,86.6,94,100,47.4,82.6
23,Peking University,China,11.5,15%,46%,54%,89.1,90,86.6,59.6,82.3
24,National University of Singapore,Singapore,17.9,28%,51%,49%,76.8,90.4,58.8,95.5,81.9
25,University of Washington,United States,11.1,16%,53%,47%,72.2,82.2,47.5,60.4,81.6
26,Carnegie Mellon University,United States,13.6,48%,41%,59%,65.9,82.7,50.5,80.6,81.3
26,London School of Economics and Political Science,United Kingdom,12.1,71%,53%,47%,69,83,35.1,93.2,81.3
27,New York University,United States,8.9,33%,57%,43%,76.8,77.5,38.7,65.4,81.1
28,University of Edinburgh,United Kingdom,12.8,41%,60%,40%,67.3,74.1,38.9,93.8,79.3
29,"University of California, San Diego",United States,13,23%,46%,54%,62.6,78.9,90.3,63.7,78.8
30,LMU Munich,Germany,34.7,17%,61%,39%,68.4,77,100,67.2,77.8
30,University of Melbourne,Australia,26.3,46%,56%,44%,65.9,74.1,76.3,93.1,77.8
31,University of British Columbia,Canada,18.1,32%,55%,45%,61.5,73.2,43.8,94.4,76.3
32,University of Hong Kong,Hong Kong,18.2,44%,54%,46%,69.5,77.2,59.7,98.6,75.9
33,King�s College London,United Kingdom,12.5,44%,62%,38%,61.3,68.5,45.6,95.6,75.7
33,The University of Tokyo,Japan,10.6,12%,0%,0%,85.9,89.6,77.4,38.2,75.7
34,�cole Polytechnique F�d�rale de Lausanne,Switzerland,11.4,59%,28%,72%,66.6,66.3,66.4,98.6,75.4
34,Georgia Institute of Technology,United States,18.3,27%,33%,67%,60.2,76.4,61.6,77.1,75.4
34,University of Texas at Austin,United States,17.2,10%,52%,48%,68.2,76.2,46.6,39.1,75.4
35,Karolinska Institute,Sweden,9,20%,68%,32%,55.4,71.4,71.2,81.2,74.7
36,McGill University,Canada,13,29%,58%,42%,65,71.9,42.8,90.4,74.3
37,Technical University of Munich,Germany,47.8,27%,34%,66%,64.6,70.4,100,72.9,74.1
38,Heidelberg University,Germany,16.1,18%,54%,46%,67.1,60.3,54.6,67.5,73.5
39,KU Leuven,Belgium,36.3,15%,50%,50%,58.7,73.9,99.3,71.8,73.2
39,Paris Sciences et Lettres � PSL Research University Paris,France,11.5,26%,46%,54%,71.6,71.4,52.2,78.7,73.2
40,The Hong Kong University of Science and Technology,Hong Kong,22.3,31%,0%,0%,57.4,66.1,71.9,97.7,73.1
41,University of Illinois at Urbana-Champaign,United States,17.9,24%,47%,53%,63.2,78,47.9,54.3,73
42,"Nanyang Technological University, Singapore",Singapore,15.9,27%,48%,52%,57.6,70.4,76.5,95.1,72.9
43,Australian National University,Australia,17.8,44%,52%,48%,54.4,69.7,46.4,95.5,72.1
44,University of Wisconsin-Madison,United States,10,13%,0%,0%,68.8,70.3,46.3,47.4,72
45,Washington University in St Louis,United States,7.5,20%,0%,0%,64.2,57.5,40.7,57.1,71.5
46,Brown University,United States,10.8,20%,0%,0%,64,56.1,36.5,61.4,70
47,University of North Carolina at Chapel Hill,United States,9.4,8%,57%,43%,59.7,63.2,43.9,38,69.9
48,"University of California, Davis",United States,12,14%,58%,42%,62.4,66.9,51.4,62.4,69.7
48,University of Manchester,United Kingdom,14.4,40%,53%,47%,56.9,63.8,44.7,91,69.7
49,"University of California, Santa Barbara",United States,27.6,16%,52%,48%,47.9,63.6,84.5,68.1,69.6
49,Chinese University of Hong Kong,Hong Kong,18.6,32%,0%,0%,55.8,62.8,55.2,97.8,69.6
50,Wageningen University & Research,Netherlands,21.3,27%,53%,47%,49.3,57.1,100,81.9,69.4
51,University of Sydney,Australia,20.1,39%,58%,42%,51,61.5,67.7,89.2,69.3
52,Boston University,United States,11.6,27%,60%,40%,57.3,55.6,41.4,64.4,68.4
53,University of Amsterdam,Netherlands,13.5,18%,56%,44%,48,63.4,45.3,82,68.1
53,University of Southern California,United States,11.7,25%,53%,47%,54.7,59.3,39.7,66.2,68.1
54,Seoul National University,South Korea,12.4,12%,0%,0%,72.3,71.6,86.6,35.8,68
55,Kyoto University,Japan,9,9%,24%,76%,73.7,78.1,66.2,33.7,67.7
56,University of Queensland,Australia,35.7,34%,55%,45%,49.3,58.7,80.9,92.5,67.4
57,Delft University of Technology,Netherlands,20.2,30%,29%,71%,55.3,72.3,99.4,92.8,66.7
57,Leiden University,Netherlands,18.7,16%,59%,41%,48.3,65,72.7,79.4,66.7
58,Erasmus University Rotterdam,Netherlands,20.4,23%,51%,49%,39.4,57.3,63.6,87.3,66.3
59,Ohio State University (Main campus),United States,12.5,13%,50%,50%,57.5,56.1,53.3,59.5,66.1
60,UNSW Sydney,Australia,35.7,41%,47%,53%,50.2,58.2,57.9,93.7,65.9
61,McMaster University,Canada,28.1,17%,55%,45%,44.5,50.1,94,82.7,65.4
62,University of Groningen,Netherlands,23.8,21%,51%,49%,42.3,55.6,79.8,82.5,65
62,Humboldt University of Berlin,Germany,56.1,17%,0%,0%,61.8,66.8,40.2,67.8,65
63,Monash University,Australia,33.9,39%,57%,43%,47.3,56.6,67.2,89.9,64.7
63,Utrecht University,Netherlands,14.2,9%,59%,41%,44.1,61.2,65.3,65.5,64.7
64,University of Warwick,United Kingdom,13.2,41%,49%,51%,46.9,52.7,42.8,93.8,64.6
65,Penn State (Main campus),United States,15.3,16%,46%,54%,55.2,67.1,52.1,47.4,64.3
